rank,title,price,price_num,link,timestamp
37,[NEW/리뉴얼] 컬러그램 누디 블러 틴트 18 COLOR,"8,300원 ~",8300.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230581&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=37,2025-08-13T02:53:01.019619+09:00
38,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),"28,500원",28500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000134691&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=38,2025-08-13T02:53:01.063726+09:00
39,[25ml 추가증정] 휩드 비건 팩클렌저 130g 기획 3종 (머그트리/무화버터/유자몽),"19,700원 ~",19700.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217511&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=39,2025-08-13T02:53:01.107768+09:00
40,[파격특가] 피지오겔 시카밸런스 포맨 카밍 크림 70ml,"9,900원",9900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211188&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=40,2025-08-13T02:53:01.164049+09:00
41,[1+1한정기획/열감진정] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블기획 (본품+본품),"26,900원",26900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224932&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=41,2025-08-13T02:53:01.219256+09:00
42,포뷰트 두피 타투15g 블랙 (+추영우 포토카드 증정 이벤트),"16,800원",16800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223552&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=42,2025-08-13T02:53:01.270763+09:00
43,[3년연속1등] 라보에이치 두피강화샴푸 750+125ML(단품/기획),"25,900원 ~",25900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149501&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=43,2025-08-13T02:53:01.310177+09:00
44,바이오더마 센시비오 H2O 850ml(클렌징워터),"24,610원",24610.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=44,2025-08-13T02:53:01.361551+09:00
45,[산리오캐릭터즈] 롬앤 더 쥬시 래스팅 틴트 (+쉐이킹키링증정) 단품/기획,"13,000원 ~",13000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213153&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=45,2025-08-13T02:53:01.409247+09:00
46,[올영픽/피지아웃/화잘먹 수분천재세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 기획(+50ml 리필+수분크림10ml),"21,700원",21700.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188004&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=46,2025-08-13T02:53:01.461760+09:00
47,[유시은pick/1등홈경락템] 마미케어 EMS브이쎄라 (화이트/핑크/NEW 퍼플에디션) (+전용 부스팅젤 본품 증정),"99,000원 ~",99000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000224350&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=47,2025-08-13T02:53:01.505969+09:00
48,[8월 올영픽]오브제 포어 제로 오일 컨트롤 선스틱 18g,"17,800원",17800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225044&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=48,2025-08-13T02:53:01.564129+09:00
49,플라이밀 단백질쉐이크 45g 9종 택1,"2,970원 ~",2970.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190168&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=49,2025-08-13T02:53:01.617090+09:00
50,[1등 속눈썹/NEW] 코링코 톡톡하라 노글루 속눈썹 11종 택1,"13,900원 ~",13900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213569&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=50,2025-08-13T02:53:01.665488+09:00
51,[NEW/8월올영픽] 플르부아 디퓨저 200ml & 센티드 타블렛(퍼퓸 샤쉐) 단품/기획,"26,300원 ~",26300.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202553&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=51,2025-08-13T02:53:01.708065+09:00
52,[파격특가] 질레트 랩스 딥클렌징바 면도기 (핸들+1입날),"9,900원",9900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174122&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=52,2025-08-13T02:53:01.753553+09:00
53,[8월 올영픽/핑구콜라보] 코스노리 화이트닝 드레스 비건 톤업크림 (단품/기획),"16,000원 ~",16000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000017135&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=53,2025-08-13T02:53:01.789832+09:00
54,[1등진정/크라이베이비 이벤트] 파넬 시카마누 92세럼 더블기획(30ml+30ml),"22,900원",22900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189713&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=54,2025-08-13T02:53:01.824732+09:00
55,[8월올영픽/포켓몬 에디션]성분에디터 그린토마토 NMN 포어 리프팅 앰플 40ml 더블 기획 (+키링 파우치),"22,800원",22800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230914&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=55,2025-08-13T02:53:01.877217+09:00
