Category,Product URL,Brand,Product Name,Original Price,Sale Price,Flags,Rating
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151904&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=33,식물나라,[6월 올영픽/대용량] 식물나라 워터프루프 선 크림 100mL,"19,000원","9,800원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224657&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=34,조선미녀,[NEW/단독기획] 조선미녀 맑은쌀 선크림 50ml 기획 (+10ml*2개),"20,000원","13,900원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222724&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=35,닥터지,[6월 올영픽][여단오PICK/잡티미백/화잘먹] 닥터지 비타 클리어 선세럼 2종 (1+1/단품),"32,000원","23,000원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209219&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=36,아이레놀,"[포니PICK] 아이레놀 쌩얼크림 2종 50ml (SPF 50+,PA++++)","19,800원","18,800원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206826&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=37,에스트라,(50%용량증정)에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml 기획,,"31,000원",['오늘드림'],
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202400&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=38,큐어,[대용량 더블] 김정문알로에 큐어 워터 스플래쉬 쿨링 선스틱 2입(23g + 23g) [얼음자차],,"25,900원",['오늘드림'],
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218862&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=39,달바,[붉은기보정] 달바 그린 톤업 선크림 듀오 기획 (50ml+50ml),"51,000원","35,700원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219928&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=40,식물나라,[6월 올영픽] 식물나라 뽀얀쌀 생기 톤업 선 쿠션 4종 택1 (리필 기획),"23,800원","14,220원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218955&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=41,비플레인,[촉촉쿨링선/1+1] 비플레인 녹두 쿨링 수분 선크림 50ml 1+1 기획,"25,000원","23,750원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000221881&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=42,식물나라,[6월 올영픽/NEW] 식물나라 제주알로에 쿨링 선 스틱 (단품 /리필 기획),"19,800원","9,200원","['세일', '쿠폰', '오늘드림']",
